Record No,Order Priority,Sales,Discount,Ship Method,Customer Name,Region,Market Segment,Product Category 1,Product Category 2,Product Category 3,Product Category 4,Ship Container,Order ID,Ordered On,Delivered On,Product Inventory
7069,3-MEDIUM,$64.02,0%,REGULAR AIR,Henia Zydlo,WEST,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,HIGHLIGHTERS,4009 Highlighters,WRAP BAG,13553,12/25/2011,12/28/2011,IN STOCK
7070,3-MEDIUM,$634.36,5%,REGULAR AIR,Henia Zydlo,WEST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,StarTAC 6500,SMALL BOX,13553,12/25/2011,12/28/2011,IN STOCK
7071,2-HIGH,$24.75,7%,REGULAR AIR,Mathew Reese,WEST,CONSUMER                 ,OFFICE SUPPLIES,RUBBER BANDS,RUBBER BANDS,Bagged Rubber Bands,WRAP BAG,13554,12/25/2011,12/28/2011,OUT OF STOCK
7072,2-HIGH,"$1,641.64",5%,DELIVERY TRUCK,Mathew Reese,WEST,CONSUMER                 ,FURNITURE,CHAIRS & CHAIRMATS,OFFICE CHAIRS,Novimex Fabric Task Chair,JUMBO DRUM,13554,12/25/2011,12/28/2011,OUT OF STOCK
7073,3-MEDIUM,$198.75,5%,REGULAR AIR,Thomas Boland,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 486,SMALL BOX,13555,12/25/2011,12/28/2011,IN STOCK
7074,5-LOW,$302.39,6%,REGULAR AIR,Yoseph Carroll-Englig,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 217,SMALL BOX,13556,12/25/2011,12/28/2011,OUT OF STOCK
7044,1-URGENT,"$4,944.98",11%,REGULAR AIR,Sarah Jordon-Smith,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 232,SMALL BOX,13540,12/24/2011,12/27/2011,OUT OF STOCK
7045,4-NOT SPECIFIED,$183.24,3%,REGULAR AIR,Roy Skaria,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory11,WRAP BAG,13541,12/24/2011,12/26/2011,IN STOCK
7046,4-NOT SPECIFIED,$394.63,7%,REGULAR AIR,Roy Skaria,EAST,CORPORATE                ,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",LETTER OPENERS,Stiletto Hand Letter Openers,SMALL PACK,13541,12/24/2011,12/27/2011,IN STOCK
7047,2-HIGH,$44.85,8%,REGULAR AIR,Mary O'Rourke,WEST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,T61,SMALL BOX,13542,12/24/2011,12/27/2011,IN STOCK
7048,2-HIGH,$706.80,9%,REGULAR AIR,Mary O'Rourke,WEST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony 6161I,SMALL BOX,13542,12/24/2011,12/28/2011,IN STOCK
7049,4-NOT SPECIFIED,$627.53,7%,REGULAR AIR,Quincy Jones,WEST,SMALL BUSINESS           ,OFFICE SUPPLIES,APPLIANCES,AIR PURIFIERS,3M Office Air Cleaner,MEDIUM BOX,13543,12/24/2011,12/27/2011,IN STOCK
7050,2-HIGH,"$1,930.76",2%,EXPRESS AIR,Ellis Ballard,EAST,HOME OFFICE              ,OFFICE SUPPLIES,APPLIANCES,AIR PURIFIERS,Harmony Air Purifier,MEDIUM BOX,13544,12/24/2011,12/27/2011,OUT OF STOCK
7051,2-HIGH,$285.41,4%,REGULAR AIR,Ellis Ballard,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1920,SMALL BOX,13544,12/24/2011,12/27/2011,OUT OF STOCK
7052,2-HIGH,$95.82,1%,EXPRESS AIR,Ellis Ballard,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 200,SMALL BOX,13544,12/24/2011,12/27/2011,OUT OF STOCK
7053,3-MEDIUM,$86.22,7%,REGULAR AIR,Elizabeth Moffitt,EAST,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 314,WRAP BAG,13545,12/24/2011,12/27/2011,OUT OF STOCK
7054,3-MEDIUM,"$4,228.89",6%,REGULAR AIR,Elizabeth Moffitt,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,TimeportP7382,SMALL BOX,13545,12/24/2011,12/27/2011,IN STOCK
7055,5-LOW,"$1,163.11",4%,REGULAR AIR,Deanra Eno,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 5170,SMALL BOX,13546,12/24/2011,12/27/2011,OUT OF STOCK
7056,5-LOW,$92.53,1%,REGULAR AIR,Deanra Eno,EAST,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCIL SHARPENERS,Barrel Sharpener,SMALL PACK,13546,12/24/2011,12/27/2011,IN STOCK
7057,1-URGENT,"$1,097.98",0%,REGULAR AIR,Speros Goranitis,EAST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1883,SMALL BOX,13547,12/24/2011,12/26/2011,IN STOCK
7058,4-NOT SPECIFIED,"$5,619.72",5%,REGULAR AIR,Stephanie Ulpright,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 6160,SMALL BOX,13548,12/24/2011,12/29/2011,IN STOCK
7059,4-NOT SPECIFIED,"$3,228.66",1%,REGULAR AIR,Stephanie Ulpright,EAST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,T28 WORLD,SMALL BOX,13548,12/24/2011,12/29/2011,IN STOCK
7060,1-URGENT,"$2,356.23",5%,REGULAR AIR,Lynn Smith-Reed,CENTRAL,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,CH 768,SMALL BOX,13549,12/24/2011,12/27/2011,OUT OF STOCK
7061,5-LOW,"$5,863.99",2%,REGULAR AIR,Dario Medina,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 2180,SMALL BOX,13550,12/24/2011,12/27/2011,OUT OF STOCK
7062,5-LOW,$67.55,11%,REGULAR AIR,Dario Medina,EAST,CONSUMER                 ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Stockwell Gold Paper Clips,WRAP BAG,13550,12/24/2011,12/27/2011,OUT OF STOCK
7063,5-LOW,$219.32,8%,REGULAR AIR,Dario Medina,EAST,CONSUMER                 ,FURNITURE,OFFICE FURNISHINGS,DOOR ACCESSORIES,Ultra Door Pull Handle,SMALL PACK,13550,12/24/2011,12/27/2011,IN STOCK
7064,4-NOT SPECIFIED,"$1,122.34",2%,REGULAR AIR,Lynn Smith-Reed,WEST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,StarTAC ST7762,SMALL BOX,13551,12/24/2011,12/27/2011,IN STOCK
7065,4-NOT SPECIFIED,$206.69,8%,EXPRESS AIR,Lynn Smith-Reed,WEST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1899,SMALL BOX,13551,12/24/2011,12/27/2011,IN STOCK
7066,4-NOT SPECIFIED,$64.84,0%,REGULAR AIR,Lynn Smith-Reed,WEST,HOME OFFICE              ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Peel-Off® China Markers,WRAP BAG,13551,12/24/2011,12/28/2011,IN STOCK
7067,4-NOT SPECIFIED,$4.44,1%,REGULAR AIR,Lynn Smith-Reed,WEST,HOME OFFICE              ,OFFICE SUPPLIES,RUBBER BANDS,RUBBER BANDS,Bagged Rubber Bands,WRAP BAG,13551,12/24/2011,12/30/2011,IN STOCK
7039,2-HIGH,$142.87,9%,REGULAR AIR,Quincy Jones,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 487,SMALL BOX,13537,12/23/2011,12/25/2011,IN STOCK
7040,2-HIGH,$119.15,6%,REGULAR AIR,Quincy Jones,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 232,SMALL BOX,13537,12/23/2011,12/26/2011,IN STOCK
7041,2-HIGH,$30.41,10%,REGULAR AIR,Quincy Jones,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,RUBBER BANDS,RUBBER BANDS,Alliance Rubber Bands,WRAP BAG,13537,12/23/2011,12/27/2011,IN STOCK
7042,5-LOW,$139.01,6%,REGULAR AIR,Lynn Smith-Reed,EAST,CORPORATE                ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Acco® Glide Clips,WRAP BAG,13538,12/23/2011,12/26/2011,OUT OF STOCK
7043,4-NOT SPECIFIED,$118.94,9%,REGULAR AIR,William Brown,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 329,WRAP BAG,13539,12/23/2011,12/28/2011,IN STOCK
7029,5-LOW,$572.70,10%,REGULAR AIR,Hilary Holden,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 5185,SMALL BOX,13532,12/22/2011,12/25/2011,IN STOCK
7030,5-LOW,$52.57,7%,REGULAR AIR,Hilary Holden,EAST,CONSUMER                 ,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,Advantus Push Pins,WRAP BAG,13532,12/22/2011,12/25/2011,OUT OF STOCK
7031,5-LOW,$101.73,4%,REGULAR AIR,Hilary Holden,EAST,CONSUMER                 ,OFFICE SUPPLIES,LABELS,FILE LABELS,Avery 494,SMALL BOX,13532,12/22/2011,12/25/2011,OUT OF STOCK
7032,4-NOT SPECIFIED,$750.89,7%,EXPRESS AIR,Sandra Glassco,EAST,HOME OFFICE              ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,SHELVING,Tennsco Commercial Shelving,LARGE BOX,13533,12/22/2011,12/24/2011,IN STOCK
7033,4-NOT SPECIFIED,"$2,160.10",1%,REGULAR AIR,Sandra Glassco,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,R300LX,SMALL BOX,13533,12/22/2011,12/25/2011,IN STOCK
7034,4-NOT SPECIFIED,$50.80,9%,REGULAR AIR,Sandra Glassco,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 501,SMALL BOX,13533,12/22/2011,12/26/2011,IN STOCK
7035,4-NOT SPECIFIED,"$2,314.26",1%,EXPRESS AIR,Sandra Glassco,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,CF 788,SMALL BOX,13533,12/22/2011,12/26/2011,IN STOCK
7036,4-NOT SPECIFIED,$27.90,2%,REGULAR AIR,Hallie Redmond,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1927,SMALL BOX,13534,12/22/2011,12/27/2011,IN STOCK
7037,4-NOT SPECIFIED,$728.64,2%,DELIVERY TRUCK,Deanra Eno,EAST,HOME OFFICE              ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,STORAGE CABINETS,"Tennsco Lockers, Gray",JUMBO DRUM,13535,12/22/2011,12/25/2011,IN STOCK
7038,1-URGENT,$237.15,10%,REGULAR AIR,Jesus Ocampo,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 328,WRAP BAG,13536,12/22/2011,12/27/2011,IN STOCK
7018,5-LOW,$281.42,3%,REGULAR AIR,Quincy Jones,CENTRAL,SMALL BUSINESS           ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PLASTIC STORAGE,Akro Stacking Bins,SMALL BOX,13527,12/21/2011,12/24/2011,IN STOCK
7019,2-HIGH,"$1,369.16",5%,REGULAR AIR,Maxwell Schwartz,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 6190,SMALL BOX,13528,12/21/2011,12/24/2011,OUT OF STOCK
7020,2-HIGH,"$1,578.48",8%,REGULAR AIR,Maxwell Schwartz,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony 6162I,SMALL BOX,13528,12/21/2011,12/24/2011,IN STOCK
7021,2-HIGH,$10.42,10%,REGULAR AIR,Maxwell Schwartz,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,ENVELOPES,SPECIALTY ENVELOPES,Poly String Tie Envelopes,SMALL BOX,13528,12/21/2011,12/24/2011,OUT OF STOCK
7022,2-HIGH,"$1,166.47",2%,REGULAR AIR,Maxwell Schwartz,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1982,SMALL BOX,13528,12/21/2011,12/24/2011,OUT OF STOCK
7023,5-LOW,$288.54,1%,REGULAR AIR,David Flashing,WEST,CORPORATE                ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Iris Project Case,MEDIUM BOX,13529,12/21/2011,12/24/2011,IN STOCK
7024,5-LOW,$132.99,4%,REGULAR AIR,David Flashing,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1950,SMALL BOX,13529,12/21/2011,12/29/2011,IN STOCK
7025,1-URGENT,$412.05,12%,EXPRESS AIR,Mary Zewe,EAST,CONSUMER                 ,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BINDING SUPPLIES,Poly Designer Cover & Back,SMALL BOX,13530,12/21/2011,12/24/2011,OUT OF STOCK
7026,1-URGENT,$221.27,6%,REGULAR AIR,Mary Zewe,EAST,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COMPUTER PAPER,Xerox 1884,SMALL BOX,13530,12/21/2011,12/24/2011,OUT OF STOCK
7027,1-URGENT,$340.42,7%,EXPRESS AIR,Mary Zewe,EAST,CONSUMER                 ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 216,SMALL BOX,13530,12/21/2011,12/24/2011,OUT OF STOCK
7028,1-URGENT,$181.30,10%,EXPRESS AIR,Barbara Fisher,CENTRAL,CORPORATE                ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,Maxell DVD-RAM Discs,SMALL PACK,13531,12/21/2011,12/23/2011,IN STOCK
7012,4-NOT SPECIFIED,"$3,598.27",2%,EXPRESS AIR,Suzanne McNair,WEST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory34,WRAP BAG,13522,12/20/2011,12/23/2011,OUT OF STOCK
7013,4-NOT SPECIFIED,$72.55,11%,REGULAR AIR,Suzanne McNair,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1897,SMALL BOX,13522,12/20/2011,12/23/2011,OUT OF STOCK
7014,5-LOW,$231.59,4%,REGULAR AIR,Maxwell Schwartz,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 519,SMALL BOX,13523,12/20/2011,12/23/2011,OUT OF STOCK
7015,2-HIGH,$91.71,0%,REGULAR AIR,Deanra Eno,CENTRAL,CONSUMER                 ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 514,SMALL BOX,13524,12/20/2011,12/23/2011,OUT OF STOCK
7016,1-URGENT,$69.31,8%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 199,SMALL BOX,13525,12/20/2011,12/28/2011,IN STOCK
7017,2-HIGH,$5.63,1%,REGULAR AIR,Grace Kelly,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 327,WRAP BAG,13526,12/20/2011,12/26/2011,IN STOCK
7001,1-URGENT,$38.14,0%,REGULAR AIR,Karen Seio,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Crayola Colored Pencils,WRAP BAG,13516,12/19/2011,12/22/2011,OUT OF STOCK
7002,1-URGENT,"$3,702.21",5%,REGULAR AIR,Michael Moore,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony 6120I,SMALL BOX,13517,12/19/2011,12/22/2011,IN STOCK
7003,1-URGENT,$121.77,9%,REGULAR AIR,Michael Moore,CENTRAL,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,WRITINGS PADS,Things To Do Today Pad,WRAP BAG,13517,12/19/2011,12/23/2011,IN STOCK
7004,1-URGENT,$357.54,1%,REGULAR AIR,Michael Moore,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory36,SMALL PACK,13517,12/19/2011,12/25/2011,IN STOCK
7005,1-URGENT,"$2,393.57",1%,REGULAR AIR,Michael Moore,CENTRAL,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,V2282,SMALL BOX,13517,12/19/2011,12/25/2011,IN STOCK
7006,3-MEDIUM,"$1,524.12",1%,EXPRESS AIR,Shui Tom,EAST,CONSUMER                 ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,StarTAC 7760,SMALL BOX,13518,12/19/2011,12/22/2011,IN STOCK
7007,3-MEDIUM,$12.92,7%,REGULAR AIR,Debra Catini-Entman,EAST,SMALL BUSINESS           ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Nontoxic Chalk,WRAP BAG,13519,12/19/2011,12/22/2011,IN STOCK
7008,3-MEDIUM,$132.45,1%,REGULAR AIR,Debra Catini-Entman,EAST,SMALL BUSINESS           ,TECHNOLOGY,COMPUTER PERIPHERALS,MEDIA,TDK 4.7GB DVD+R,SMALL PACK,13519,12/19/2011,12/26/2011,IN STOCK
7009,2-HIGH,$509.35,5%,EXPRESS AIR,Debra Catini-Entman,WEST,CORPORATE                ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Economy Rollaway Files,SMALL BOX,13520,12/19/2011,12/22/2011,OUT OF STOCK
7010,2-HIGH,$82.61,7%,EXPRESS AIR,Debra Catini-Entman,WEST,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 225,SMALL BOX,13520,12/19/2011,12/22/2011,OUT OF STOCK
7011,4-NOT SPECIFIED,$8.83,8%,REGULAR AIR,Ellis Ballard,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PENS & ART SUPPLIES,ART SUPPLIES,Newell 331,WRAP BAG,13521,12/19/2011,12/27/2011,IN STOCK
6995,5-LOW,$70.19,12%,REGULAR AIR,Mary O'Rourke,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,PENCILS,Staples* #2 Yellow Pencils,WRAP BAG,13514,12/18/2011,12/21/2011,OUT OF STOCK
6996,5-LOW,$169.36,8%,REGULAR AIR,Mary O'Rourke,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PENS & ART SUPPLIES,HIGHLIGHTERS,BIC® Liqua Brite Liner®,WRAP BAG,13514,12/18/2011,12/21/2011,OUT OF STOCK
6997,5-LOW,$923.30,2%,REGULAR AIR,Mary O'Rourke,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,STORAGE & ORGANIZATION,PORTABLE STORAGE,Mobile Personal File Cube,SMALL BOX,13514,12/18/2011,12/21/2011,OUT OF STOCK
6998,5-LOW,$164.34,10%,REGULAR AIR,Mary O'Rourke,CENTRAL,CORPORATE                ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 1921,SMALL BOX,13514,12/18/2011,12/21/2011,OUT OF STOCK
6999,5-LOW,$439.68,10%,REGULAR AIR,Patrick O'Brill,WEST,CORPORATE                ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory33,WRAP BAG,13515,12/18/2011,12/21/2011,OUT OF STOCK
7000,5-LOW,$71.13,11%,REGULAR AIR,Patrick O'Brill,WEST,CORPORATE                ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 482,SMALL BOX,13515,12/18/2011,12/21/2011,OUT OF STOCK
6987,5-LOW,$122.91,6%,REGULAR AIR,Roy Skaria,EAST,HOME OFFICE              ,OFFICE SUPPLIES,LABELS,STANDARD LABELS,Avery 512,SMALL BOX,13511,12/17/2011,12/20/2011,IN STOCK
6988,5-LOW,$251.68,9%,REGULAR AIR,Roy Skaria,EAST,HOME OFFICE              ,OFFICE SUPPLIES,PAPER,COPY PAPER,Xerox 227,SMALL BOX,13511,12/17/2011,12/25/2011,IN STOCK
6989,5-LOW,"$9,181.80",5%,REGULAR AIR,Roy Skaria,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Ericsson 3285,SMALL BOX,13511,12/17/2011,12/29/2011,IN STOCK
6990,5-LOW,$90.05,3%,REGULAR AIR,Roy Skaria,EAST,HOME OFFICE              ,OFFICE SUPPLIES,RUBBER BANDS,RUBBER BANDS,"Super Bands, 12/Pack",WRAP BAG,13511,12/17/2011,12/30/2011,IN STOCK
6991,1-URGENT,"$1,541.69",6%,REGULAR AIR,Olvera Toch,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony 6162M,SMALL BOX,13512,12/17/2011,12/20/2011,OUT OF STOCK
6992,3-MEDIUM,"$1,099.93",8%,REGULAR AIR,Michael Moore,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Nokia 252,SMALL BOX,13513,12/17/2011,12/19/2011,IN STOCK
6993,3-MEDIUM,"$1,605.21",4%,REGULAR AIR,Michael Moore,EAST,HOME OFFICE              ,TECHNOLOGY,TELEPHONES AND COMMUNICATION,WIRELESS AND CELLULAR,Sony Accessory1,SMALL PACK,13513,12/17/2011,12/21/2011,IN STOCK
6994,3-MEDIUM,$16.64,4%,REGULAR AIR,Michael Moore,EAST,HOME OFFICE              ,OFFICE SUPPLIES,RUBBER BANDS,PAPER CLIPS,Binder Clips by OIC,WRAP BAG,13513,12/17/2011,12/23/2011,IN STOCK
6981,3-MEDIUM,$24.12,6%,REGULAR AIR,Debra Catini-Entman,EAST,HOME OFFICE              ,OFFICE SUPPLIES,RUBBER BANDS,PINS AND TACKS,Colored Push Pins,WRAP BAG,13508,12/16/2011,12/19/2011,OUT OF STOCK
